X	Y	Tool	Rotation
83268	51772	1	0
83268	51272	1	0
83268	50772	1	0
83268	50272	1	0
83268	49772	1	0
83268	49272	1	0
83268	48772	1	0
83268	48272	1	0
83268	47772	1	0
83268	47272	1	0
83268	46772	1	0
83268	46272	1	0
83268	45772	1	0
83268	45272	1	0
83268	44772	1	0
83268	44272	1	0
83268	43772	1	0
83268	43272	1	0
83268	42772	1	0
83268	42272	1	0
83268	41772	1	0
83268	41272	1	0
83268	40772	1	0
83268	40272	1	0
83268	39772	1	0
83268	39272	1	0
83268	38772	1	0
83268	38272	1	0
83268	37772	1	0
83268	37272	1	0
83268	36772	1	0
83268	36272	1	0
83268	35772	1	0
83268	35272	1	0
83268	34772	1	0
83268	34272	1	0
83268	33772	1	0
83268	33272	1	0
83268	32772	1	0
83268	32272	1	0
83768	51772	1	0
83768	51272	1	0
83768	50772	1	0
83768	50272	1	0
83768	49772	1	0
83768	49272	1	0
83768	48772	1	0
83768	48272	1	0
83768	47772	1	0
83768	47272	1	0
83768	46772	1	0
83768	46272	1	0
83768	45772	1	0
83768	45272	1	0
83768	44772	1	0
83768	44272	1	0
83768	43772	1	0
83768	43272	1	0
83768	42772	1	0
83768	42272	1	0
83768	41772	1	0
83768	41272	1	0
83768	40772	1	0
83768	40272	1	0
83768	39772	1	0
83768	39272	1	0
83768	38772	1	0
83768	38272	1	0
83768	37772	1	0
83768	37272	1	0
83768	36772	1	0
83768	36272	1	0
83768	35772	1	0
83768	35272	1	0
83768	34772	1	0
83768	34272	1	0
83768	33772	1	0
83768	33272	1	0
83768	32772	1	0
83768	32272	1	0
84268	51772	1	0
84268	51272	1	0
84268	50772	1	0
84268	50272	1	0
84268	49772	1	0
84268	49272	1	0
84268	48772	1	0
84268	48272	1	0
84268	47772	1	0
84268	47272	1	0
84268	46772	1	0
84268	46272	1	0
84268	45772	1	0
84268	45272	1	0
84268	44772	1	0
84268	44272	1	0
84268	43772	1	0
84268	43272	1	0
84268	42772	1	0
84268	42272	1	0
84268	41772	1	0
84268	41272	1	0
84268	40772	1	0
84268	40272	1	0
84268	39772	1	0
84268	39272	1	0
84268	38772	1	0
84268	38272	1	0
84268	37772	1	0
84268	37272	1	0
84268	36772	1	0
84268	36272	1	0
84268	35772	1	0
84268	35272	1	0
84268	34772	1	0
