X	Y	Tool	Rotation
21750	51183	1	0
21750	50750	1	0
21750	50317	1	0
21750	48183	1	0
21750	47750	1	0
21750	47317	1	0
21900	51400	1	0
21900	50967	1	0
21900	50534	1	0
21900	48400	1	0
21900	47967	1	0
21900	47534	1	0
22026	51706	1	0
22026	50172	1	0
22026	48706	1	0
22026	47172	1	0
22242	51556	1	0
22242	50022	1	0
22242	48556	1	0
22242	47022	1	0
22459	51706	1	0
22459	50172	1	0
22459	48706	1	0
22459	47172	1	0
22675	51556	1	0
22675	50022	1	0
22675	48556	1	0
22675	47022	1	0
22892	51706	1	0
22892	50172	1	0
22892	48706	1	0
22892	47172	1	0
23108	51556	1	0
23108	50022	1	0
23108	48556	1	0
23108	47022	1	0
23254	51183	1	0
23254	50750	1	0
23254	50317	1	0
23254	48183	1	0
23254	47750	1	0
23254	47317	1	0
23404	51400	1	0
23404	50967	1	0
23404	50534	1	0
23404	48400	1	0
23404	47967	1	0
23404	47534	1	0
22350	51050	2	0
22800	51050	2	0
22350	50650	2	0
22800	50650	2	0
22350	48050	2	0
22800	48050	2	0
22350	47650	2	0
22800	47650	2	0
